SD,ST,ED,ET,title,type, price ,invitees,location,repeat
01/05/2019,18:00,01/05/2019,21:00,she codes,she codes,₪ 20.00,,IBM,
01/04/2019,17:30,01/04/2019,18:00,vet,וטרינר, ₪ -   ,,"igal alon 157, tal aviv",
05/04/2019,12:45,05/04/2019,13:45,haircut,מספרה,₪ 220.00,,karmiel,
11/04/2019,19:20,11/04/2019,22:00,captan marvel,סרט,₪ 50.00,,"cinem city, ayalon mall",
12/04/2019,09:00,12/04/2019,13:30,she codes team seminar,she codes, ₪ -   ,,check point,
15/04/2018,18:00,15/04/2018,20:00,pedi,ציפורניים,₪ 130.00,,por la vida,
17/04/2019,18:00,17/04/2019,21:00,she codes,she codes,₪ 20.00,,IBM,
05/05/2019,17:30,05/05/2019,18:30,vet,וטרינר, ₪ -   ,,"igal alon 157, tal aviv",
06/05/2019,21:00,06/05/2019,09:30,naturapil,נאטורפיל, ₪ -   ,,petah tiquwa,
